region_metadata,biodiversity_data
"name: Togo,","category: Sparsely built, category: Open low-rise, category: Scattered trees, category: Dense trees, category: Low plants, category: Bush, scrub, category: Bare - sparse vegetation, category: Shrubland, category: Built-up, category: Grassland, category: Tree cover, category: Cropland, "
"name: Cambodia,","category: Low plants, category: Bare soil or sand, category: Sparsely built, category: Dense trees, category: Scattered trees, category: Water, "
"name: Brazil,","category: Water, category: Sparsely built, category: Dense trees, category: Low plants, category: Scattered trees, category: Bush, scrub, category: Cropland, category: Shrubland, category: Grassland, category: Tree cover, category: Bare - sparse vegetation, "
"name: Ethiopia,","category: Grassland, category: Herbaceous wetland, category: Bare - sparse vegetation, category: Built-up, category: Shrubland, category: Cropland, category: Tree cover, category: Scattered trees, category: Sparsely built, category: Open low-rise, category: Bare soil or sand, category: Low plants, category: Dense trees, category: Bush, scrub, category: Bare rock or paved, "
"name: Montenegro,","category: Bare rock or paved, category: Water, category: Low plants, category: Open low-rise, category: Sparsely built, category: Scattered trees, category: Bush, scrub, category: Dense trees, "
"name: Côte d'Ivoire,","category: Compact low-rise, category: Low plants, category: Bush, scrub, category: Open low-rise, category: Sparsely built, category: Scattered trees, category: Dense trees, "
"name: Argentina,","category: Shrubland, category: Built-up, category: Grassland, category: Permanent water bodies, category: Bare - sparse vegetation, category: Cropland, category: Tree cover, category: Scattered trees, category: Bush, scrub, category: Low plants, category: Water, "
"name: Iraq,","category: Bare soil or sand, "
"name: Peru,","category: Grassland, category: Permanent water bodies, category: Built-up, category: Tree cover, category: Bare - sparse vegetation, category: Shrubland, category: Bare rock or paved, category: Large low-rise, category: Dense trees, category: Low plants, category: Scattered trees, category: Open low-rise, category: Bush, scrub, category: Sparsely built, category: Water, "
"name: Sudan,","category: Bare soil or sand, category: Low plants, category: Bush, scrub, category: Grassland, category: Bare - sparse vegetation, "
"name: Nepal,","category: Low plants, category: Scattered trees, category: Large low-rise, category: Bare rock or paved, category: Water, category: Open midrise, category: Compact low-rise, category: Dense trees, category: Open low-rise, category: Bush, scrub, category: Sparsely built, "
"name: Sri Lanka,","category: Cropland, category: Tree cover, category: Bare - sparse vegetation, category: Built-up, category: Permanent water bodies, category: Grassland, category: Sparsely built, category: Bush, scrub, category: Dense trees, category: Compact low-rise, category: Scattered trees, category: Low plants, category: Bare rock or paved, category: Water, category: Open low-rise, "
"name: Yemen,","category: Bare soil or sand, category: Bare rock or paved, category: Built-up, category: Cropland, category: Bare - sparse vegetation, "
"name: South Africa,","category: Bare soil or sand, category: Bush, scrub, category: Low plants, category: Bare - sparse vegetation, category: Grassland, category: Shrubland, category: Tree cover, category: Built-up, "
"name: Indonesia,","category: Bare - sparse vegetation, category: Permanent water bodies, category: Tree cover, "
"name: Nicaragua,","category: Sparsely built, category: Bare rock or paved, category: Water, category: Low plants, category: Dense trees, category: Open low-rise, category: Scattered trees, category: Permanent water bodies, category: Grassland, category: Cropland, category: Built-up, category: Tree cover, category: Bare - sparse vegetation, "
"name: the Republic of North Macedonia,","category: Dense trees, category: Scattered trees, category: Open low-rise, category: Bush, scrub, category: Low plants, category: Bare rock or paved, category: Sparsely built, "
"name: Tajikistan,","category: Built-up, category: Snow and ice, category: Tree cover, category: Permanent water bodies, category: Bare - sparse vegetation, category: Moss and lichen, category: Cropland, category: Grassland, category: Low plants, category: Bush, scrub, category: Water, category: Bare rock or paved, category: Scattered trees, category: Bare soil or sand, category: Open low-rise, category: Dense trees, category: Sparsely built, "
"name: Venezuela Bolivarian Republic of,","category: Sparsely built, category: Low plants, category: Large low-rise, category: Bare rock or paved, category: Dense trees, category: Open low-rise, category: Bush, scrub, category: Bare soil or sand, category: Water, category: Scattered trees, "
"name: Romania,","category: Low plants, category: Scattered trees, category: Dense trees, category: Open low-rise, category: Sparsely built, "
"name: Eswatini,",""
"name: Guinea,","category: Low plants, category: Bare soil or sand, category: Sparsely built, category: Open low-rise, category: Bush, scrub, category: Compact low-rise, category: Scattered trees, category: Dense trees, category: Bare rock or paved, "
"name: Uganda,","category: Built-up, category: Cropland, category: Tree cover, category: Bare - sparse vegetation, category: Herbaceous wetland, category: Shrubland, category: Grassland, category: Dense trees, category: Low plants, category: Bush, scrub, category: Open low-rise, category: Sparsely built, category: Scattered trees, "
"name: Afghanistan,","category: Low plants, category: Bare soil or sand, category: Bush, scrub, category: Bare rock or paved, category: Sparsely built, category: Built-up, category: Grassland, category: Cropland, category: Shrubland, category: Tree cover, category: Bare - sparse vegetation, "
"name: Lao People's Democratic Republic the,","category: Bush, scrub, category: Compact low-rise, category: Open low-rise, category: Scattered trees, category: Dense trees, category: Sparsely built, category: Bare rock or paved, category: Grassland, category: Bare - sparse vegetation, "
"name: Czechia,","category: Large low-rise, category: Scattered trees, category: Dense trees, category: Water, category: Sparsely built, category: Bare rock or paved, category: Open low-rise, category: Low plants, "
"name: Benin,","category: Bush, scrub, category: Sparsely built, category: Compact low-rise, category: Dense trees, category: Water, category: Low plants, category: Bare rock or paved, category: Bare soil or sand, category: Open low-rise, category: Scattered trees, category: Grassland, "
"name: Morocco,","category: Lightweight low-rise, category: Bare rock or paved, category: Dense trees, category: Bush, scrub, category: Scattered trees, category: Sparsely built, category: Compact low-rise, category: Large low-rise, category: Bare soil or sand, category: Low plants, category: Open low-rise, "
"name: Viet Nam,","category: Dense trees, category: Open low-rise, category: Scattered trees, category: Low plants, category: Sparsely built, "
"name: Nigeria,","category: Bare rock or paved, category: Low plants, category: Bare soil or sand, category: Sparsely built, category: Dense trees, category: Bush, scrub, category: Open low-rise, category: Scattered trees, category: Tree cover, category: Cropland, category: Grassland, category: Built-up, category: Bare - sparse vegetation, category: Shrubland, "
"name: Hungary,","category: Low plants, category: Scattered trees, category: Dense trees, category: Large low-rise, category: Sparsely built, category: Open low-rise, category: Bare soil or sand, category: Water, category: Compact low-rise, "
"name: Ukraine,","category: Cropland, category: Tree cover, category: Permanent water bodies, category: Grassland, category: Herbaceous wetland, category: Built-up, category: Bare - sparse vegetation, category: Sparsely built, category: Low plants, category: Dense trees, category: Water, category: Open low-rise, category: Compact low-rise, category: Scattered trees, "
"name: Republic of Congo,","category: Scattered trees, category: Low plants, category: Sparsely built, category: Dense trees, category: Grassland, "
"name: Russian Federation,","category: Low plants, category: Open low-rise, category: Scattered trees, category: Dense trees, category: Sparsely built, category: Grassland, category: Shrubland, category: Moss and lichen, category: Tree cover, category: Herbaceous wetland, category: Permanent water bodies, "
"name: Armenia,","category: Bare - sparse vegetation, category: Tree cover, category: Permanent water bodies, category: Built-up, category: Cropland, category: Moss and lichen, category: Grassland, category: Dense trees, category: Bush, scrub, category: Low plants, category: Bare soil or sand, category: Open low-rise, category: Large low-rise, category: Bare rock or paved, category: Sparsely built, category: Scattered trees, "
"name: Tunisia,","category: Bare rock or paved, category: Bare soil or sand, category: Open low-rise, category: Low plants, category: Bush, scrub, category: Grassland, category: Cropland, category: Shrubland, category: Bare - sparse vegetation, "
"name: Dominican Republic,","category: Open low-rise, category: Bare rock or paved, category: Low plants, category: Scattered trees, category: Dense trees, category: Compact low-rise, category: Large low-rise, category: Sparsely built, category: Water, category: Bare soil or sand, "
"name: Saint Vincent,","category: Shrubland, category: Grassland, category: Bare - sparse vegetation, category: Cropland, category: Herbaceous wetland, category: Mangroves, category: Permanent water bodies, category: Tree cover, category: Built-up, category: Low plants, category: Bare soil or sand, category: Scattered trees, category: Open low-rise, category: Large low-rise, category: Dense trees, category: Sparsely built, category: Bare rock or paved, category: Bush, scrub, category: Water, "
"name: the Grenadines,","category: Grassland, category: Tree cover, category: Cropland, category: Bare - sparse vegetation, category: Herbaceous wetland, category: Shrubland, category: Built-up, category: Permanent water bodies, category: Mangroves, category: Low plants, category: Open low-rise, category: Bare soil or sand, category: Bare rock or paved, category: Dense trees, category: Sparsely built, category: Water, category: Scattered trees, category: Bush, scrub, category: Large low-rise, "
"name: Democratic People's Republic of Korea,","category: Low plants, category: Bush, scrub, category: Open low-rise, category: Bare rock or paved, category: Scattered trees, category: Dense trees, category: Sparsely built, "
"name: Niger,","category: Bare soil or sand, category: Bare rock or paved, "
"name: Botswana,","category: Low plants, category: Bush, scrub, "
"name: Honduras,","category: Built-up, category: Bare - sparse vegetation, category: Grassland, category: Tree cover, category: Cropland, category: Shrubland, category: Compact low-rise, category: Dense trees, category: Scattered trees, category: Sparsely built, category: Open low-rise, category: Bare rock or paved, category: Bush, scrub, category: Low plants, "
"name: Bosnia,","category: Bush, scrub, category: Scattered trees, category: Sparsely built, category: Dense trees, category: Low plants, category: Large low-rise, category: Compact low-rise, category: Open low-rise, category: Bare rock or paved, category: Open midrise, category: Bare soil or sand, category: Water, "
"name: Herzegovina,","category: Low plants, category: Large low-rise, category: Open midrise, category: Sparsely built, category: Scattered trees, category: Bush, scrub, category: Compact low-rise, category: Dense trees, category: Open low-rise, category: Bare rock or paved, category: Water, category: Bare soil or sand, "
"name: Italy,","category: Built-up, category: Cropland, category: Tree cover, category: Shrubland, category: Bare - sparse vegetation, category: Permanent water bodies, category: Grassland, category: Heavy industry, category: Bush, scrub, category: Scattered trees, category: Open low-rise, category: Open high-rise, category: Compact high-rise, category: Compact low-rise, category: Bare rock or paved, category: Open midrise, category: Dense trees, category: Large low-rise, category: Low plants, category: Compact midrise, category: Sparsely built, "
"name: Algeria,","category: Bare rock or paved, category: Bare soil or sand, category: Bush, scrub, category: Built-up, category: Bare - sparse vegetation, "
"name: Central African Republic,","category: Bush, scrub, category: Open low-rise, category: Scattered trees, category: Sparsely built, category: Dense trees, category: Tree cover, category: Shrubland, category: Grassland, "
"name: Gabon,","category: Dense trees, category: Scattered trees, category: Low plants, category: Water, category: Bush, scrub, category: Bare rock or paved, category: Open low-rise, category: Sparsely built, "
"name: Papua New Guinea,","category: Bare rock or paved, category: Water, category: Sparsely built, category: Dense trees, category: Scattered trees, category: Bare - sparse vegetation, category: Grassland, "
"name: Malawi,","category: Sparsely built, category: Low plants, category: Bush, scrub, category: Scattered trees, category: Bare rock or paved, "
"name: Thailand,","category: Herbaceous wetland, category: Bare - sparse vegetation, category: Shrubland, category: Cropland, category: Permanent water bodies, category: Built-up, category: Grassland, category: Tree cover, category: Open low-rise, category: Bush, scrub, category: Low plants, category: Dense trees, category: Scattered trees, category: Sparsely built, category: Large low-rise, category: Water, category: Bare rock or paved, category: Compact low-rise, category: Bare soil or sand, "
"name: Seychelles,",""
"name: Philippines,","category: Permanent water bodies, "
"name: Burundi,","category: Scattered trees, category: Bare rock or paved, category: Dense trees, category: Sparsely built, category: Bush, scrub, category: Low plants, category: Cropland, category: Built-up, category: Herbaceous wetland, category: Bare - sparse vegetation, category: Tree cover, category: Shrubland, category: Permanent water bodies, category: Grassland, "
"name: Mozambique,","category: Scattered trees, category: Open low-rise, category: Low plants, category: Bush, scrub, category: Bare rock or paved, category: Sparsely built, category: Dense trees, category: Bare soil or sand, category: Bare - sparse vegetation, "
"name: Moldova,","category: Tree cover, category: Bare - sparse vegetation, category: Herbaceous wetland, category: Cropland, category: Built-up, category: Grassland, category: Permanent water bodies, category: Sparsely built, category: Scattered trees, category: Open low-rise, category: Bush, scrub, category: Bare rock or paved, category: Low plants, category: Bare soil or sand, category: Water, category: Large low-rise, category: Compact low-rise, category: Dense trees, "
"name: Haiti,","category: Bare soil or sand, category: Dense trees, category: Water, category: Scattered trees, category: Compact low-rise, category: Low plants, category: Bush, scrub, category: Sparsely built, category: Open low-rise, category: Bare rock or paved, "
"name: Serbia,","category: Water, category: Open low-rise, category: Sparsely built, category: Low plants, category: Scattered trees, category: Bush, scrub, category: Dense trees, "
"name: Libya,","category: Bare soil or sand, category: Bare rock or paved, "
"name: Trinidad,","category: Water, category: Dense trees, category: Low plants, category: Scattered trees, category: Sparsely built, category: Large low-rise, category: Bare soil or sand, category: Open low-rise, "
"name: Tobago,","category: Scattered trees, category: Bare soil or sand, category: Water, category: Low plants, category: Sparsely built, category: Dense trees, category: Open low-rise, category: Large low-rise, "
"name: Chile,","category: Shrubland, category: Cropland, category: Bare - sparse vegetation, category: Permanent water bodies, category: Tree cover, category: Built-up, category: Grassland, category: Compact low-rise, category: Dense trees, category: Sparsely built, category: Water, category: Open low-rise, category: Open midrise, category: Bare soil or sand, category: Low plants, category: Scattered trees, category: Large low-rise, "
"name: Solomon Islands,","category: Permanent water bodies, "
"name: Senegal,","category: Open low-rise, category: Low plants, category: Sparsely built, category: Bush, scrub, category: Bare soil or sand, category: Scattered trees, category: Cropland, category: Shrubland, category: Grassland, category: Built-up, category: Bare - sparse vegetation, category: Tree cover, "
"name: Albania,","category: Permanent water bodies, category: Built-up, category: Tree cover, category: Grassland, category: Bare - sparse vegetation, category: Cropland, category: Shrubland, category: Bare rock or paved, category: Compact low-rise, category: Dense trees, category: Sparsely built, category: Bare soil or sand, category: Low plants, category: Scattered trees, category: Open low-rise, category: Bush, scrub, "
"name: Mauritania,","category: Bare soil or sand, category: Bare - sparse vegetation, "
"name: Guyana,","category: Open low-rise, category: Scattered trees, category: Low plants, category: Dense trees, category: Water, category: Bare soil or sand, category: Sparsely built, category: Compact low-rise, category: Bare rock or paved, category: Large low-rise, category: Bare - sparse vegetation, category: Tree cover, category: Permanent water bodies, category: Grassland, "
"name: United Kingdom of Great Britain,","category: Sparsely built, category: Bare soil or sand, category: Open midrise, category: Open low-rise, category: Compact midrise, category: Large low-rise, category: Dense trees, category: Water, category: Low plants, category: Open high-rise, category: Scattered trees, category: Compact low-rise, "
"name: Northern Ireland,","category: Open midrise, category: Compact low-rise, category: Water, category: Large low-rise, category: Dense trees, category: Sparsely built, category: Compact midrise, category: Low plants, category: Open low-rise, category: Scattered trees, category: Bare soil or sand, category: Open high-rise, "
"name: Panama,","category: Built-up, category: Grassland, category: Bare - sparse vegetation, category: Shrubland, category: Tree cover, category: Scattered trees, category: Sparsely built, category: Dense trees, category: Bush, scrub, category: Low plants, category: Open low-rise, "
"name: Myanmar,","category: Bare - sparse vegetation, category: Tree cover, category: Cropland, category: Shrubland, category: Grassland, category: Built-up, category: Scattered trees, category: Sparsely built, category: Compact low-rise, category: Dense trees, category: Open low-rise, category: Bush, scrub, category: Bare rock or paved, category: Low plants, "
"name: Japan,","category: Tree cover, category: Permanent water bodies, category: Bare - sparse vegetation, category: Grassland, category: Built-up, category: Cropland, category: Bare rock or paved, category: Open low-rise, category: Compact midrise, category: Dense trees, category: Compact low-rise, category: Open midrise, category: Low plants, category: Bare soil or sand, category: Large low-rise, category: Bush, scrub, category: Sparsely built, category: Water, category: Scattered trees, "
"name: Mexico,","category: Bush, scrub, category: Sparsely built, category: Scattered trees, category: Low plants, category: Bare soil or sand, category: Bare rock or paved, category: Shrubland, category: Bare - sparse vegetation, category: Built-up, category: Cropland, category: Grassland, "
"name: Ghana,","category: Dense trees, category: Low plants, category: Sparsely built, category: Open low-rise, category: Scattered trees, category: Bush, scrub, category: Bare - sparse vegetation, category: Cropland, category: Tree cover, category: Built-up, category: Shrubland, category: Grassland, "
"name: Timor-Leste,","category: Compact low-rise, category: Sparsely built, category: Open low-rise, category: Low plants, category: Bare soil or sand, category: Dense trees, category: Bare rock or paved, category: Bush, scrub, category: Scattered trees, category: Cropland, category: Shrubland, category: Bare - sparse vegetation, category: Tree cover, category: Permanent water bodies, category: Built-up, category: Grassland, "
"name: El Salvador,","category: Grassland, category: Built-up, category: Shrubland, category: Bare - sparse vegetation, category: Cropland, category: Tree cover, category: Bare rock or paved, category: Bush, scrub, category: Low plants, category: Scattered trees, category: Compact low-rise, category: Open low-rise, category: Large low-rise, category: Dense trees, category: Sparsely built, "
"name: Poland,","category: Dense trees, category: Sparsely built, category: Scattered trees, category: Bare soil or sand, category: Open low-rise, category: Low plants, "
"name: Azerbaijan,","category: Water, category: Low plants, category: Bare soil or sand, category: Scattered trees, category: Sparsely built, category: Bush, scrub, "
"name: Mongolia,","category: Bare rock or paved, category: Dense trees, category: Sparsely built, category: Open low-rise, category: Bush, scrub, category: Low plants, category: Scattered trees, category: Bare soil or sand, "
"name: Kazakhstan,","category: Bare soil or sand, category: Low plants, category: Bush, scrub, category: Bare rock or paved, category: Built-up, category: Bare - sparse vegetation, category: Shrubland, category: Permanent water bodies, category: Grassland, "
"name: Mali,","category: Bare soil or sand, category: Grassland, category: Bare - sparse vegetation, "
"name: Liberia,","category: Scattered trees, category: Sparsely built, category: Dense trees, category: Open low-rise, category: Grassland, "
"name: Ecuador,","category: Tree cover, category: Built-up, category: Herbaceous wetland, category: Permanent water bodies, category: Bare - sparse vegetation, category: Cropland, category: Shrubland, category: Grassland, category: Low plants, category: Bare rock or paved, category: Dense trees, category: Scattered trees, category: Bush, scrub, category: Sparsely built, category: Open low-rise, category: Water, "
"name: Cameroon,","category: Bush, scrub, category: Scattered trees, category: Dense trees, category: Sparsely built, "
"name: Gambia,","category: Sparsely built, category: Low plants, category: Scattered trees, category: Bush, scrub, category: Bare rock or paved, category: Open low-rise, category: Bare soil or sand, category: Water, category: Dense trees, "
"name: Uruguay,","category: Water, category: Scattered trees, category: Low plants, category: Sparsely built, category: Dense trees, "
"name: Djibouti,","category: Bare - sparse vegetation, category: Grassland, category: Bare soil or sand, category: Bush, scrub, category: Scattered trees, category: Sparsely built, category: Bare rock or paved, category: Open low-rise, "
"name: Fiji,","category: Permanent water bodies, category: Tree cover, category: Bare - sparse vegetation, category: Grassland, "
"name: Jamaica,","category: Bare - sparse vegetation, category: Sparsely built, category: Open low-rise, category: Low plants, category: Bush, scrub, category: Scattered trees, category: Dense trees, "
"name: Sierra Leone,","category: Bush, scrub, category: Low plants, category: Scattered trees, category: Open low-rise, category: Dense trees, category: Sparsely built, "
"name: Chad,","category: Bare soil or sand, "
"name: Zimbabwe,","category: Shrubland, category: Tree cover, category: Permanent water bodies, category: Bare - sparse vegetation, category: Cropland, category: Built-up, category: Grassland, category: Scattered trees, category: Low plants, category: Dense trees, category: Bare soil or sand, category: Bare rock or paved, category: Water, category: Open low-rise, category: Sparsely built, category: Bush, scrub, "
"name: Slovakia,","category: Tree cover, category: Built-up, category: Cropland, category: Bare - sparse vegetation, category: Grassland, category: Low plants, category: Sparsely built, category: Dense trees, category: Bare rock or paved, category: Scattered trees, category: Open low-rise, "
"name: South Sudan,","category: Dense trees, category: Scattered trees, category: Low plants, category: Bush, scrub, category: Sparsely built, "
"name: East Timor,","category: Bare - sparse vegetation, category: Tree cover, category: Permanent water bodies, "
"name: Namibia,","category: Low plants, category: Bush, scrub, category: Bare soil or sand, category: Shrubland, category: Grassland, category: Bare - sparse vegetation, category: Cropland, "
"name: Suriname,","category: Sparsely built, category: Dense trees, category: Low plants, category: Water, category: Scattered trees, category: Permanent water bodies, category: Bare - sparse vegetation, category: Tree cover, "
"name: Zambia,","category: Bush, scrub, category: Scattered trees, category: Sparsely built, category: Water, category: Dense trees, category: Open low-rise, category: Low plants, "
"name: Rwanda,","category: Built-up, category: Grassland, category: Bare - sparse vegetation, category: Tree cover, category: Shrubland, category: Permanent water bodies, category: Cropland, category: Sparsely built, category: Scattered trees, category: Dense trees, category: Bush, scrub, category: Low plants, category: Open low-rise, category: Water, category: Bare rock or paved, "
"name: Malaysia,",""
"name: Georgia,","category: Bare - sparse vegetation, category: Cropland, category: Grassland, category: Built-up, category: Tree cover, category: Low plants, category: Sparsely built, category: Scattered trees, category: Dense trees, category: Open low-rise, "
"name: Saint Lucia,","category: Built-up, category: Bare - sparse vegetation, category: Mangroves, category: Tree cover, category: Shrubland, category: Cropland, category: Herbaceous wetland, category: Permanent water bodies, category: Grassland, category: Open low-rise, category: Sparsely built, category: Bare soil or sand, category: Large low-rise, category: Bare rock or paved, category: Water, category: Scattered trees, category: Dense trees, category: Low plants, category: Compact low-rise, "
"name: Comoros,","category: Permanent water bodies, "
"name: Egypt,","category: Bare soil or sand, category: Bare rock or paved, category: Grassland, "
"name: Australia,","category: Low plants, category: Bush, scrub, category: Bare soil or sand, category: Grassland, "
"name: Saudi Arabia,","category: Bare soil or sand, category: Bare rock or paved, category: Bare - sparse vegetation, "
"name: Cuba,","category: Grassland, category: Cropland, category: Built-up, category: Herbaceous wetland, category: Bare - sparse vegetation, category: Shrubland, category: Tree cover, category: Permanent water bodies, category: Large low-rise, category: Open low-rise, category: Sparsely built, category: Low plants, category: Bush, scrub, category: Water, category: Compact low-rise, category: Bare soil or sand, category: Scattered trees, category: Dense trees, "
"name: Bhutan,","category: Herbaceous wetland, category: Bare - sparse vegetation, category: Open midrise, category: Open low-rise, category: Water, category: Bare rock or paved, category: Sparsely built, category: Low plants, category: Dense trees, category: Bush, scrub, category: Scattered trees, "
"name: Kyrgyzstan,","category: Cropland, category: Built-up, category: Moss and lichen, category: Grassland, category: Bare - sparse vegetation, category: Permanent water bodies, category: Tree cover, category: Water, category: Bare rock or paved, category: Low plants, category: Bush, scrub, category: Open low-rise, category: Dense trees, category: Scattered trees, category: Bare soil or sand, category: Sparsely built, "
"name: occupied Palestinian territory,","category: Bare soil or sand, category: Scattered trees, category: Sparsely built, category: Bare rock or paved, category: Open midrise, category: Dense trees, category: Large low-rise, category: Compact low-rise, category: Bush, scrub, category: Open low-rise, category: Compact midrise, "
"name: Cyprus,","category: Open low-rise, category: Bare rock or paved, category: Large low-rise, category: Low plants, category: Bare soil or sand, category: Dense trees, category: Bush, scrub, category: Sparsely built, category: Scattered trees, category: Compact low-rise, category: Water, "
"name: Belarus,","category: Bare soil or sand, category: Sparsely built, category: Water, category: Dense trees, category: Scattered trees, category: Open low-rise, category: Large low-rise, category: Low plants, "
"name: Belize,","category: Shrubland, category: Grassland, category: Herbaceous wetland, category: Cropland, category: Built-up, category: Permanent water bodies, category: Bare - sparse vegetation, category: Tree cover, category: Open low-rise, category: Sparsely built, category: Scattered trees, category: Large low-rise, category: Low plants, category: Compact low-rise, category: Dense trees, category: Bush, scrub, "
"name: Maldives,","category: Permanent water bodies, "
"name: Czech Republic,","category: Permanent water bodies, category: Grassland, category: Cropland, category: Tree cover, category: Bare - sparse vegetation, category: Moss and lichen, category: Herbaceous wetland, category: Built-up, category: Bare rock or paved, category: Dense trees, category: Open high-rise, category: Scattered trees, category: Water, category: Low plants, category: Sparsely built, category: Open low-rise, category: Compact low-rise, category: Compact midrise, category: Heavy industry, category: Open midrise, category: Bush, scrub, category: Large low-rise, "
"name: United States of America,","category: Dense trees, category: Water, category: Large low-rise, category: Bare soil or sand, category: Sparsely built, category: Scattered trees, category: Low plants, category: Open low-rise, "
"name: Bulgaria,","category: Low plants, category: Bare rock or paved, category: Bush, scrub, category: Water, category: Open low-rise, category: Sparsely built, category: Dense trees, category: Scattered trees, "
"name: Slovenia,","category: Built-up, category: Bare - sparse vegetation, category: Tree cover, category: Grassland, category: Permanent water bodies, category: Herbaceous wetland, category: Cropland, category: Low plants, category: Open low-rise, category: Open midrise, category: Large low-rise, category: Compact low-rise, category: Water, category: Bare rock or paved, category: Dense trees, category: Bare soil or sand, category: Scattered trees, category: Sparsely built, "
"name: Kiribati,","category: Built-up, category: Permanent water bodies, category: Herbaceous wetland, category: Grassland, category: Bare - sparse vegetation, "
"name: Syrian Arab Republic,","category: Low plants, category: Bare soil or sand, category: Bare rock or paved, category: Grassland, category: Bare - sparse vegetation, category: Cropland, "
"name: New Zealand,",""
